ID,type_code,TYPE,SEX,X,Y,CLASS,RECLASS,COMM,ELEV,LFI,ASPECT,SLOPE,SQUR,FOREST,KIND,TAS
1,1,BOX,NA,549924.38,4229051.65,L,>0-10,SP,1114.67,0,290,14,1,LOW,SPRUCE COMPONENT,-179.438
2,1,BOX,NA,551109,4230109.06,M,>10-50,SP,1096.04,1,221,7,1,MED,SPRUCE COMPONENT,-179.536
3,1,BOX,NA,551285.89,4229347.8,M,>10-50,SP,1146.4,1,290,17,1,MED,SPRUCE COMPONENT,-179.438
4,1,BOX,NA,553374.41,4237682.55,M,>10-50,NC,1036.59,-1,320,14,1,MED,SPRUCE COMPONENT,-179.096
5,1,BOX,NA,553452.39,4230717.27,M,>10-50,SP,1068.57,-2,265,11,1,MED,SPRUCE COMPONENT,-179.552
6,1,BOX,NA,553766.44,4231049.2,M,>10-50,SP,1087.52,-1,319,9,1,MED,SPRUCE COMPONENT,-179.872
7,1,BOX,NA,553901.59,4229961.98,L,>0-10,NC,1105.7,2,331,9,1,LOW,SPRUCE COMPONENT,-180.424
8,1,BOX,NA,554100.54,4240662.56,M,>10-50,SP,1123.39,4,132,7,1,MED,SPRUCE COMPONENT,-179.001
9,1,BOX,NA,555002.26,4232610.83,L,>0-10,OT,967.06,-1,25,11,1,LOW,APP HARDWOODS,-179.009
10,1,BOX,NA,555046.7,4233027.29,M,>10-50,SP,966.88,-5,258,21,1,MED,SPRUCE COMPONENT,-179.075
11,1,BOX,NA,555074.69,4233213.3,M,>10-50,SP,982.13,2,269,25,1,MED,SPRUCE COMPONENT,-179.616
12,1,BOX,NA,555110.9,4233369.68,M,>10-50,SP,969.27,-2,303,23,1,MED,SPRUCE COMPONENT,-179.837
13,1,BOX,NA,555267.02,4229265.77,M,>10-50,SP,1062.57,0,296,28,1,MED,SPRUCE COMPONENT,-179.229
14,1,BOX,NA,555409.22,4224433.09,M,>10-50,SP,1103.63,-9,328,3,1,MED,SPRUCE COMPONENT,-179.708
