ID,TYPE,SEX,X,Y,CLASS,RECLASS,COMM,ELEV,LFI,ASPECT,SLOPE,PRESABS,SQUR,FOREST,KIND,TAS,CN,FORTYPCD,ForTypName,FLDTYPCD,FldTypName,STDSZCD,FLDSZCD,BALIVE,CANOPYPCT,STANDHT,ALSTK,GSSTK,QMD_RMRS,SDIPCT_RMR,TPA_LIVE,TPA_DEAD,VOLCFNET_L,VOLCFNET_D,VOLBFNET_L,DRYBIO_L,DRYBIO_D,CARBON_L,CARBON_D,CARBON_DWN,tm_id
1,BOX,.,549924.38,4229051.65,L,>0-10,SP,1114.67,0,290,14,s,1,LOW,SPRUCE COMPONENT,-179.438,3.06E+14,502,Chestnut oak,502,Chestnut oak,2,2,130.2106,85,59,80.8033,66.2526,0,0,903.373286,48.144368,1924.727436,248.3227164,2986.361524,66.07226237,6.858309146,33.03613119,3.429154573,3.303848,58764
2,BOX,.,551109,4230109.06,M,>10-50,SP,1096.04,1,221,7,s,1,MED,SPRUCE COMPONENT,-179.536,1.45E+13,503,White oak / red oak / hickory,520,Mixed upland hardwoods,1,3,138.0362,78,75,79.8169,70.549,0,0,519.259514,18.054138,3038.328675,24.70235767,12230.79181,91.48938029,0.30448187,45.74469014,0.152240935,4.360357,28377
3,BOX,.,551285.89,4229347.8,M,>10-50,SP,1146.4,1,290,17,s,1,MED,SPRUCE COMPONENT,-179.438,3.06E+14,502,Chestnut oak,502,Chestnut oak,2,2,130.2106,85,59,80.8033,66.2526,0,0,903.373286,48.144368,1924.727436,248.3227164,2986.361524,66.07226237,6.858309146,33.03613119,3.429154573,3.303848,58764
4,BOX,.,553374.41,4237682.55,M,>10-50,NC,1036.59,-1,320,14,s,1,MED,SPRUCE COMPONENT,-179.096,3.06E+14,801,Sugar maple / beech / yellow birch,802,Black cherry,1,3,214.9458,89,80,76.9382,72.3828,0,0,690.513532,30.09023,5483.444179,56.84300816,21137.43163,141.8897132,0.905639653,70.94485659,0.452819827,6.16165,78447
5,BOX,.,553452.39,4230717.27,M,>10-50,SP,1068.57,-2,265,11,s,1,MED,SPRUCE COMPONENT,-179.552,2.23E+14,801,Sugar maple / beech / yellow birch,123,Red spruce,1,3,211.9384,87,62,75.8149,70.5588,0,0,2057.942746,54.162414,3170.16705,217.2286101,10723.81265,78.38219957,3.2395036,39.19109978,1.6197518,4.383449,78520
6,BOX,.,553766.44,4231049.2,M,>10-50,SP,1087.52,-1,319,9,s,1,MED,SPRUCE COMPONENT,-179.872,2.47E+14,123,Red spruce,123,Red spruce,1,3,183.6226,74,57,69.1329,51.9063,0,0,1634.971968,6.018046,3047.189207,6.561397319,7270.567609,61.20101239,0.098295796,30.60050619,0.049147898,5.056237,78404
7,BOX,.,553901.59,4229961.98,L,>0-10,NC,1105.7,2,331,9,s,1,LOW,SPRUCE COMPONENT,-180.424,3.06E+14,502,Chestnut oak,502,Chestnut oak,2,2,130.2106,85,59,80.8033,66.2526,0,0,903.373286,48.144368,1924.727436,248.3227164,2986.361524,66.07226237,6.858309146,33.03613119,3.429154573,3.303848,58764
8,BOX,.,554100.54,4240662.56,M,>10-50,SP,1123.39,4,132,7,s,1,MED,SPRUCE COMPONENT,-179.001,3.06E+14,502,Chestnut oak,502,Chestnut oak,2,2,130.2106,85,59,80.8033,66.2526,0,0,903.373286,48.144368,1924.727436,248.3227164,2986.361524,66.07226237,6.858309146,33.03613119,3.429154573,3.303848,58764
9,BOX,.,555002.26,4232610.83,L,>0-10,OT,967.06,-1,25,11,s,1,LOW,APP HARDWOODS,-179.009,1.63E+13,511,Yellow-poplar,516,Cherry / white ash / yellow-poplar,2,2,140.9694,84,70,54.9212,53.6743,0,0,945.499608,6.018046,2826.856417,5.972573644,7905.667355,68.2139341,0.047102921,34.10696705,0.023551461,3.053821,59146
10,BOX,.,555046.7,4233027.29,M,>10-50,SP,966.88,-5,258,21,s,1,MED,SPRUCE COMPONENT,-179.075,2.96E+13,801,Sugar maple / beech / yellow birch,801,Sugar maple / beech / yellow birch,1,3,181.0058,83,78,86.977,84.5948,0,0,486.420554,24.072184,3959.312399,34.22492249,14430.68277,98.62231359,0.67490743,49.3111568,0.337453715,5.198563,78141
